hhh_id	hhh_name	hhh_price	mes_sku	mes_name	mes_section	mes_sheet	mes_price	fixture	form	hhh_watts	mes_watts	score
2029	SMBE Adjustable Wall Packs 50W/60W/80W/100W LIFT	421.14	6236	05109 01 -  LED Slim Full Cutoff Wall Pack (Viper GSR) 20W-40W-60W-80W CCT Tunable (3000K-4000K-5000K) Bronze w/ Photocell + QSR DLC Prem (MES)	Wall Packs	MES Exterior	67.5	wallpack		50/60/80/100	20/40/60/80	20
1965	LEDONE Strip Light 48W/68W/90W	173.04	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
1954	LEDONE Wrap Fixture 30W/40W/50W/60W	147.28		(no fixture match)				?				0
1966	LEDONE Strip Light 60W/70W/80W	140	6686	02382 05 - LED 8FT Covered Strip Fixture (Juniper GSR+) 40W-53W-68W-80W CCT Tunable (3000K-3500K-4000K-5000K-6500K) Frosted White 150 LM/W QSR & PQSR 120V-277V DLC Prem (MES) DLC ID#	Linear Strip Fixtures	MES Interior	68	strip		60/70/80	40/53/68/80	10
1955	LEDONE 70W/90W/110W Highbay	142.14	5116	09240 03 - LED 2FT Linear High Bay (Pine SSR+) 50W-60W-70W-90W-110W 5000K Frosted White ZSR Rotatable 100-277V DLC Prem (MES)	Linear High Bay	MES Interior	65.8	highbay		70/90/110	50/60/70/90/110	38
2046	ML 50W/60W/70W/90W/110W Highbay	131.6	5116	09240 03 - LED 2FT Linear High Bay (Pine SSR+) 50W-60W-70W-90W-110W 5000K Frosted White ZSR Rotatable 100-277V DLC Prem (MES)	Linear High Bay	MES Interior	65.8	highbay		50/60/70/90/110	50/60/70/90/110	58
1956	LEDONE 145W/160W/175W Highbay	191.58	6783	03067 02 - LED Round UFO High Bay (Ash GSR+ Pro) 160W-180W-200W CCT Tunable (4000K-5000K) Black ZSR (60D-90D Beam Angle Adjustable) 120-277V 6KV DLC Prem (MES)	Round High Bay	MES Interior	78	highbay		145/160/175	160/180/200	10
2047	ML 90W/110W/130W/150W/165W Highbay	145.6	5117	09241 03 - LED 2FT Linear High Bay (Pine SSR+) 90W-110W-130W-150W-165W 5000K Frosted White ZSR Rotatable 100-277V DLC Prem (MES)	Linear High Bay	MES Interior	72.5	highbay		90/110/130/150/165	90/110/130/150/165	58
1432	SMBE Strip Light 48W/68W/90W	293.04	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
2048	ML 150W/165W/180W/200W/220W Highbay	163	5118	09242 03 - LED 2FT Linear High Bay (Pine SSR+) 150W-165W-180W-200W-220W 5000K Frosted White ZSR Rotatable 100-277V 6KV IP20 DLC Prem (MES)	Linear High Bay	MES Interior	81.5	highbay		150/165/180/200/220	150/165/180/200/220	58
